impl,sweep,n,procs,threads,workers,t_serial_ref,t_total_median,t_compute_median,speedup_empirical,serial_fraction,parallel_fraction,serial_fraction_amdahl,serial_fraction_gustafson,speedup_amdahl,speedup_gustafson,karp_flatt,efficiency
hybrid-block,C,100000000,4,16,64,53.720023,1.795043,1.170536,29.9269,0.286163,0.713837,0.009013,0.286163,40.8205,45.9717,0.018072,0.4676
hybrid-blockcyclic,B,100000000,1,16,16,53.720023,4.308283,3.355815,12.469,0.151807,0.848193,0.009013,0.151807,14.0944,13.7229,0.018879,0.7793
hybrid-blockcyclic,B,100000000,16,1,16,53.720023,4.243381,3.434521,12.6597,0.184995,0.815005,0.009013,0.184995,14.0944,13.2251,0.01759,0.7912
hybrid-blockcyclic,B,100000000,16,2,32,53.720023,2.624505,1.78332,20.4686,0.308758,0.691242,0.009013,0.308758,25.0115,22.4285,0.018173,0.6396
hybrid-blockcyclic,B,100000000,16,4,64,53.720023,1.808623,0.986954,29.7022,0.439855,0.560145,0.009013,0.439855,40.8205,36.2891,0.018329,0.4641
hybrid-blockcyclic,B,100000000,2,16,32,53.720023,2.545354,1.684732,21.1051,0.277743,0.722257,0.009013,0.277743,25.0115,23.39,0.016652,0.6595
hybrid-blockcyclic,B,100000000,2,8,16,53.720023,4.270578,3.418576,12.5791,0.164702,0.835298,0.009013,0.164702,14.0944,13.5295,0.01813,0.7862
hybrid-blockcyclic,B,100000000,32,1,32,53.720023,2.880024,2.027028,18.6526,0.290767,0.709233,0.009013,0.290767,25.0115,22.9862,0.023083,0.5829
hybrid-blockcyclic,B,100000000,32,2,64,53.720023,2.16756,1.152411,24.7836,0.41889,0.58111,0.009013,0.41889,40.8205,37.6099,0.025117,0.3872
hybrid-blockcyclic,B,100000000,4,1,4,53.720023,14.178272,13.348386,3.7889,0.052892,0.947108,0.009013,0.052892,3.8947,3.8413,0.018572,0.9472
hybrid-blockcyclic,A,100000000,4,16,64,53.720023,1.755943,0.868538,30.5933,0.448169,0.551831,0.009013,0.448169,40.8205,35.7654,0.017333,0.478
hybrid-blockcyclic,B,100000000,4,16,64,53.720023,1.789837,0.925562,30.0139,0.432553,0.567447,0.009013,0.432553,40.8205,36.7492,0.017974,0.469
hybrid-blockcyclic,C,100000000,4,16,64,53.720023,1.771134,0.895392,30.3309,0.433774,0.566226,0.009013,0.433774,40.8205,36.6723,0.01762,0.4739
hybrid-blockcyclic,B,100000000,4,2,8,53.720023,7.608314,6.739951,7.0607,0.101769,0.898231,0.009013,0.101769,7.5252,7.2876,0.019005,0.8826
hybrid-blockcyclic,B,100000000,4,4,16,53.720023,4.249542,3.451873,12.6414,0.168507,0.831493,0.009013,0.168507,14.0944,13.4724,0.017712,0.7901
hybrid-blockcyclic,B,100000000,4,8,32,53.720023,2.560468,1.705353,20.9805,0.300903,0.699097,0.009013,0.300903,25.0115,22.672,0.016943,0.6556
hybrid-blockcyclic,B,100000000,64,1,64,53.720023,2.38562,1.469902,22.5183,0.387466,0.612534,0.009013,0.387466,40.8205,39.5896,0.02924,0.3518
hybrid-blockcyclic,B,100000000,8,2,16,53.720023,4.203543,3.400158,12.7797,0.182331,0.817669,0.009013,0.182331,14.0944,13.265,0.016799,0.7987
hybrid-blockcyclic,B,100000000,8,4,32,53.720023,2.663703,1.725157,20.1674,0.333496,0.666504,0.009013,0.333496,25.0115,21.6616,0.018926,0.6302
