impl,sweep,n,procs,threads,workers,t_serial_ref,t_total_median,t_compute_median,speedup_empirical,serial_fraction,parallel_fraction,speedup_amdahl,speedup_gustafson,efficiency
hybrid-block,C,30000000,4,2,8,2.098305,0.827134,0.72767,2.5368,0.102331,0.897669,4.6611,7.2837,0.3171
hybrid-blockcyclic,A,100000000,4,2,8,11.41697,3.849624,3.491189,2.9657,0.091658,0.908342,4.8733,7.3584,0.3707
hybrid-blockcyclic,A,20000000,4,2,8,1.207148,0.340485,0.274009,3.5454,0.180443,0.819557,3.535,6.7369,0.4432
hybrid-blockcyclic,A,21141000,4,2,8,1.298907,0.367481,0.291726,3.5346,0.185709,0.814291,3.4783,6.7,0.4418
hybrid-blockcyclic,A,22347000,4,2,8,1.454272,0.392926,0.310436,3.7011,0.178449,0.821551,3.5569,6.7509,0.4626
hybrid-blockcyclic,A,23623000,4,2,8,1.71951,0.440534,0.342638,3.9032,0.176647,0.823353,3.577,6.7635,0.4879
hybrid-blockcyclic,A,24971000,4,2,8,1.647411,0.477702,0.387638,3.4486,0.172564,0.827436,3.6233,6.7921,0.4311
hybrid-blockcyclic,A,26396000,4,2,8,1.786891,0.499564,0.407644,3.5769,0.168717,0.831283,3.668,6.819,0.4471
hybrid-blockcyclic,A,27902000,4,2,8,1.964405,0.538575,0.439682,3.6474,0.175313,0.824687,3.592,6.7728,0.4559
hybrid-blockcyclic,A,29494000,4,2,8,2.087151,0.573887,0.470264,3.6369,0.167004,0.832996,3.6883,6.831,0.4546
hybrid-blockcyclic,C,30000000,4,2,8,2.098305,0.744203,0.612497,2.8195,0.159979,0.840021,3.7738,6.8801,0.3524
hybrid-blockcyclic,A,31178000,4,2,8,2.221441,0.638587,0.523566,3.4787,0.14805,0.85195,3.9286,6.9637,0.4348
hybrid-blockcyclic,A,32957000,4,2,8,2.397706,0.643284,0.535385,3.7273,0.156831,0.843169,3.8135,6.9022,0.4659
hybrid-blockcyclic,A,34838000,4,2,8,2.659446,0.711916,0.59646,3.7356,0.14952,0.85048,3.9088,6.9534,0.467
hybrid-blockcyclic,A,36826000,4,2,8,2.813344,0.789968,0.661044,3.5613,0.148624,0.851376,3.9209,6.9596,0.4452
hybrid-blockcyclic,A,38927000,4,2,8,3.107416,0.882981,0.747075,3.5192,0.141115,0.858885,4.0245,7.0122,0.4399
hybrid-blockcyclic,A,41149000,4,2,8,3.295881,0.930474,0.788695,3.5422,0.141273,0.858727,4.0223,7.0111,0.4428
hybrid-blockcyclic,A,43497000,4,2,8,3.532566,0.949751,0.807217,3.7195,0.143565,0.856435,3.9901,6.995,0.4649
hybrid-blockcyclic,A,45979000,4,2,8,3.830585,1.180389,1.004185,3.2452,0.137802,0.862198,4.072,7.0354,0.4056
hybrid-blockcyclic,A,48603000,4,2,8,4.179367,1.136219,0.969686,3.6783,0.134741,0.865259,4.117,7.0568,0.4598
hybrid-blockcyclic,A,51377000,4,2,8,4.473423,1.285413,1.097561,3.4801,0.134994,0.865006,4.1132,7.055,0.435
hybrid-blockcyclic,A,54309000,4,2,8,4.858028,1.596241,1.372936,3.0434,0.120549,0.879451,4.3388,7.1562,0.3804
hybrid-blockcyclic,A,57408000,4,2,8,5.262513,1.485774,1.253791,3.5419,0.136835,0.863165,4.0861,7.0422,0.4427
hybrid-blockcyclic,A,60684000,4,2,8,5.728612,1.653869,1.40649,3.4638,0.128752,0.871248,4.2077,7.0987,0.433
hybrid-blockcyclic,A,64147000,4,2,8,6.27692,1.875013,1.583977,3.3477,0.124339,0.875661,4.2772,7.1296,0.4185
hybrid-blockcyclic,A,67808000,4,2,8,6.602466,2.253133,1.978676,2.9303,0.108139,0.891861,4.5533,7.243,0.3663
hybrid-blockcyclic,A,71677000,4,2,8,7.162235,2.682549,2.372939,2.6699,0.104522,0.895478,4.6199,7.2683,0.3337
