impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,20000000,1,1,1270607,0.000048,5.374279,0.000000,0.104103,5.478436,1,A
pthreads,20000000,1,16,1270607,0.000138,0.479401,0.002081,0.109104,0.590730,1,A
openmp-dynamic-4096,20000000,1,16,1270607,0.000029,0.353563,0.025077,0.105621,0.484295,1,A
serial,20000000,1,1,1270607,0.000059,5.372361,0.000000,0.106858,5.479283,2,A
pthreads,20000000,1,16,1270607,0.000116,0.474035,0.002338,0.116003,0.592495,2,A
openmp-dynamic-4096,20000000,1,16,1270607,0.000033,0.345773,0.025251,0.117735,0.488797,2,A
serial,20000000,1,1,1270607,0.000055,5.373216,0.000000,0.112864,5.486140,3,A
pthreads,20000000,1,16,1270607,0.000112,0.479476,0.003037,0.129121,0.611752,3,A
openmp-dynamic-4096,20000000,1,16,1270607,0.000031,0.346789,0.025396,0.128309,0.500530,3,A
serial,21141000,1,1,1338321,0.000072,5.810973,0.000000,0.123290,5.934341,1,A
pthreads,21141000,1,16,1338321,0.000125,0.514614,0.005119,0.119789,0.639652,1,A
openmp-dynamic-4096,21141000,1,16,1338321,0.000035,0.377854,0.026179,0.161721,0.565793,1,A
serial,21141000,1,1,1338321,0.000060,5.815321,0.000000,0.116324,5.931710,2,A
pthreads,21141000,1,16,1338321,0.000128,0.513855,0.003527,0.160975,0.678490,2,A
openmp-dynamic-4096,21141000,1,16,1338321,0.000031,0.366624,0.025755,0.121912,0.514327,2,A
serial,21141000,1,1,1338321,0.000060,5.814727,0.000000,0.112997,5.927789,3,A
pthreads,21141000,1,16,1338321,0.000219,0.523443,0.004847,0.115824,0.644340,3,A
openmp-dynamic-4096,21141000,1,16,1338321,0.000033,0.375792,0.025105,0.116780,0.517714,3,A
serial,22347000,1,1,1409642,0.000058,6.292338,0.000000,0.113106,6.405506,1,A
pthreads,22347000,1,16,1409642,0.000174,0.568662,0.003775,0.114121,0.686736,1,A
openmp-dynamic-4096,22347000,1,16,1409642,0.000031,0.448999,0.030273,0.113547,0.592854,1,A
serial,22347000,1,1,1409642,0.000058,6.289515,0.000000,0.149491,6.439070,2,A
pthreads,22347000,1,16,1409642,0.000216,0.577486,0.003633,0.197521,0.778861,2,A
openmp-dynamic-4096,22347000,1,16,1409642,0.000038,0.398773,0.027416,0.174927,0.601158,2,A
serial,22347000,1,1,1409642,0.000051,6.290494,0.000000,0.135227,6.425775,3,A
pthreads,22347000,1,16,1409642,0.000127,0.562430,0.004579,0.140953,0.708093,3,A
openmp-dynamic-4096,22347000,1,16,1409642,0.000034,0.407224,0.026802,0.135545,0.569608,3,A
serial,23623000,1,1,1484957,0.000059,6.814813,0.000000,0.152694,6.967571,1,A
pthreads,23623000,1,16,1484957,0.000157,0.603626,0.002612,0.166735,0.773139,1,A
openmp-dynamic-4096,23623000,1,16,1484957,0.000053,0.436031,0.031180,0.190035,0.657306,1,A
serial,23623000,1,1,1484957,0.000081,6.826732,0.000000,0.156906,6.983727,2,A
pthreads,23623000,1,16,1484957,0.000117,0.597896,0.004705,0.174081,0.776802,2,A
openmp-dynamic-4096,23623000,1,16,1484957,0.000035,0.437881,0.028077,0.153375,0.619374,2,A
serial,23623000,1,1,1484957,0.000054,7.214203,0.000000,0.149051,7.363313,3,A
pthreads,23623000,1,16,1484957,0.000125,0.673800,0.003263,0.144982,0.822174,3,A
openmp-dynamic-4096,23623000,1,16,1484957,0.000032,0.584353,0.027576,0.139881,0.751849,3,A
serial,24971000,1,1,1564236,0.000082,7.375913,0.000000,0.140546,7.516546,1,A
pthreads,24971000,1,16,1564236,0.000150,0.869607,0.004721,0.162709,1.037191,1,A
openmp-dynamic-4096,24971000,1,16,1564236,0.000032,0.475342,0.036049,0.142689,0.654118,1,A
serial,24971000,1,1,1564236,0.000062,7.364190,0.000000,0.131646,7.495902,2,A
pthreads,24971000,1,16,1564236,0.000179,0.647051,0.003067,0.132890,0.783191,2,A
openmp-dynamic-4096,24971000,1,16,1564236,0.000028,0.474219,0.031051,0.136854,0.642156,2,A
serial,24971000,1,1,1564236,0.000069,7.369558,0.000000,0.171049,7.540680,3,A
pthreads,24971000,1,16,1564236,0.000124,0.704193,0.003237,0.164093,0.871652,3,A
openmp-dynamic-4096,24971000,1,16,1564236,0.000031,0.476646,0.030596,0.145778,0.653055,3,A
serial,26396000,1,1,1647664,0.000053,7.968509,0.000000,0.148581,8.117147,1,A
pthreads,26396000,1,16,1647664,0.000144,0.709234,0.004057,0.175329,0.888768,1,A
openmp-dynamic-4096,26396000,1,16,1647664,0.000030,0.509713,0.033258,0.176412,0.719417,1,A
serial,26396000,1,1,1647664,0.000063,7.970702,0.000000,0.151136,8.121906,2,A
pthreads,26396000,1,16,1647664,0.000136,0.699502,0.002943,0.157981,0.860565,2,A
openmp-dynamic-4096,26396000,1,16,1647664,0.000028,0.504775,0.031161,0.152316,0.688285,2,A
serial,26396000,1,1,1647664,0.000057,7.969185,0.000000,0.141938,8.111185,3,A
pthreads,26396000,1,16,1647664,0.000126,0.713006,0.003759,0.167218,0.884113,3,A
openmp-dynamic-4096,26396000,1,16,1647664,0.000032,0.513397,0.032294,0.169333,0.715060,3,A
serial,27902000,1,1,1735706,0.000061,8.625662,0.000000,0.188393,8.814119,1,A
pthreads,27902000,1,16,1735706,0.000136,0.763987,0.004834,0.168439,0.937401,1,A
openmp-dynamic-4096,27902000,1,16,1735706,0.000031,0.551958,0.032482,0.158207,0.742683,1,A
serial,27902000,1,1,1735706,0.000057,8.623681,0.000000,0.144315,8.768058,2,A
pthreads,27902000,1,16,1735706,0.000115,0.772987,0.004377,0.172097,0.949580,2,A
openmp-dynamic-4096,27902000,1,16,1735706,0.000030,0.597620,0.034124,0.165738,0.797518,2,A
serial,27902000,1,1,1735706,0.000054,8.624685,0.000000,0.146275,8.771019,3,A
pthreads,27902000,1,16,1735706,0.000145,0.778286,0.003983,0.152369,0.934787,3,A
openmp-dynamic-4096,27902000,1,16,1735706,0.000031,0.551268,0.033078,0.149357,0.733740,3,A
serial,29494000,1,1,1828356,0.000053,9.332475,0.000000,0.157718,9.490250,1,A
pthreads,29494000,1,16,1828356,0.000112,0.824399,0.003250,0.156445,0.984212,1,A
openmp-dynamic-4096,29494000,1,16,1828356,0.000030,0.595651,0.037234,0.162386,0.795306,1,A
serial,29494000,1,1,1828356,0.000068,9.345283,0.000000,0.160346,9.505701,2,A
pthreads,29494000,1,16,1828356,0.000117,0.837788,0.003645,0.159682,1.001237,2,A
openmp-dynamic-4096,29494000,1,16,1828356,0.000032,0.596001,0.035493,0.169178,0.800708,2,A
serial,29494000,1,1,1828356,0.000057,9.337190,0.000000,0.210175,9.547427,3,A
pthreads,29494000,1,16,1828356,0.000111,0.820239,0.003352,0.180748,1.004454,3,A
openmp-dynamic-4096,29494000,1,16,1828356,0.000036,0.595308,0.037109,0.183242,0.815700,3,A
serial,31178000,1,1,1926228,0.000057,10.102889,0.000000,0.200930,10.303880,1,A
pthreads,31178000,1,16,1926228,0.000112,0.905904,0.002936,0.212920,1.121876,1,A
openmp-dynamic-4096,31178000,1,16,1926228,0.000038,0.644330,0.037236,0.198534,0.880143,1,A
serial,31178000,1,1,1926228,0.000060,10.098365,0.000000,0.172362,10.270791,2,A
pthreads,31178000,1,16,1926228,0.000136,0.897137,0.003083,0.213283,1.113643,2,A
openmp-dynamic-4096,31178000,1,16,1926228,0.000031,0.643352,0.038114,0.264753,0.946254,2,A
serial,31178000,1,1,1926228,0.000059,10.100935,0.000000,0.215396,10.316394,3,A
pthreads,31178000,1,16,1926228,0.000114,0.906763,0.003854,0.205056,1.115792,3,A
openmp-dynamic-4096,31178000,1,16,1926228,0.000037,0.642596,0.037413,0.216058,0.896110,3,A
serial,32957000,1,1,2029180,0.000052,10.929991,0.000000,0.191237,11.121285,1,A
pthreads,32957000,1,16,2029180,0.000119,0.970159,0.003373,0.193105,1.166761,1,A
openmp-dynamic-4096,32957000,1,16,2029180,0.000026,0.696298,0.039720,0.201542,0.937591,1,A
serial,32957000,1,1,2029180,0.000053,10.932831,0.000000,0.219365,11.152253,2,A
pthreads,32957000,1,16,2029180,0.000126,0.969700,0.003634,0.202860,1.176325,2,A
openmp-dynamic-4096,32957000,1,16,2029180,0.000028,0.696863,0.040336,0.193944,0.931177,2,A
serial,32957000,1,1,2029180,0.000068,10.931502,0.000000,0.174559,11.106151,3,A
pthreads,32957000,1,16,2029180,0.000113,0.985191,0.003711,0.185174,1.174192,3,A
openmp-dynamic-4096,32957000,1,16,2029180,0.000024,0.698422,0.039564,0.191980,0.929994,3,A
serial,34838000,1,1,2137395,0.000055,11.829111,0.000000,0.179935,12.009105,1,A
pthreads,34838000,1,16,2137395,0.000120,1.153693,0.005030,0.179433,1.338279,1,A
