impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-dynamic(->block@P1),30000000,1,16,1857859,0.000115,0.000000,0.612911,0.092929,0.002160,0.000000,0.134855,0.843077,1.000000,16,1,B
hybrid-dynamic(->block@P1),30000000,1,16,1857859,0.000082,0.000000,0.611928,0.087675,0.001874,0.000000,0.139732,0.841366,1.000000,16,2,B
hybrid-dynamic(->block@P1),30000000,1,16,1857859,0.000084,0.000000,0.612495,0.091642,0.002536,0.000000,0.141605,0.848467,1.000000,16,3,B
hybrid-dynamic,30000000,2,8,1857859,0.000060,0.000015,1.389023,0.085726,0.019760,0.070259,0.146526,1.722183,1.000064,16,1,B
hybrid-dynamic,30000000,2,8,1857859,0.000062,0.000010,1.389892,0.085834,0.019365,0.070786,0.144172,1.731005,1.000068,16,2,B
hybrid-dynamic,30000000,2,8,1857859,0.000058,0.000016,1.363563,0.081651,0.019269,0.069553,0.144931,1.689864,1.000067,16,3,B
hybrid-dynamic,30000000,4,4,1857859,0.000048,0.000035,0.981150,0.029650,0.025264,0.079000,0.150397,1.287293,1.000737,16,1,B
hybrid-dynamic,30000000,4,4,1857859,0.000049,0.000029,1.101820,0.031699,0.033799,0.078827,0.144614,1.410542,1.003055,16,2,B
hybrid-dynamic,30000000,4,4,1857859,0.000098,0.000038,1.025847,0.037073,0.027447,0.080566,0.145726,1.345434,1.003275,16,3,B
hybrid-dynamic,30000000,8,2,1857859,0.000043,0.000021,0.802244,0.013546,0.028835,0.085886,0.157301,1.117354,1.002980,16,1,B
hybrid-dynamic,30000000,8,2,1857859,0.000037,0.000018,0.795584,0.013410,0.034222,0.083632,0.149070,1.108807,1.002647,16,2,B
hybrid-dynamic,30000000,8,2,1857859,0.000039,0.000019,0.908563,0.019338,0.031263,0.082955,0.155724,1.226859,1.003097,16,3,B
hybrid-dynamic,30000000,16,1,1857859,0.000040,0.000060,0.733535,0.007022,0.034802,0.089626,0.147135,1.022986,1.016465,16,1,B
hybrid-dynamic,30000000,16,1,1857859,0.000051,0.000061,0.705201,0.006282,0.039602,0.094606,0.149292,1.015752,1.015404,16,2,B
hybrid-dynamic,30000000,16,1,1857859,0.000037,0.000062,0.700069,0.005181,0.032000,0.087638,0.143425,0.989781,1.015827,16,3,B
hybrid-dynamic,30000000,2,16,1857859,0.000087,0.000015,0.775849,0.089603,0.045323,0.071824,0.145988,1.139518,1.000022,32,1,B
hybrid-dynamic,30000000,2,16,1857859,0.000085,0.000016,0.857526,0.090352,0.024512,0.075245,0.141431,1.200084,1.000118,32,2,B
hybrid-dynamic,30000000,2,16,1857859,0.000116,0.000018,0.831081,0.086791,0.027211,0.070551,0.140810,1.177421,1.000148,32,3,B
hybrid-dynamic,30000000,4,8,1857859,0.000079,0.000055,0.459864,0.028396,0.046806,0.080719,0.155450,0.802586,1.003485,32,1,B
hybrid-dynamic,30000000,4,8,1857859,0.000084,0.000033,0.550066,0.031493,0.030863,0.083595,0.140919,0.856915,1.003231,32,2,B
hybrid-dynamic,30000000,4,8,1857859,0.000062,0.000029,0.572695,0.035349,0.025011,0.078632,0.139921,0.883017,1.002581,32,3,B
hybrid-dynamic,30000000,8,4,1857859,0.000047,0.000018,0.423211,0.013803,0.029042,0.082105,0.144191,0.722068,1.008615,32,1,B
hybrid-dynamic,30000000,8,4,1857859,0.000047,0.000018,0.388413,0.012103,0.037193,0.085528,0.145407,0.699665,1.004166,32,2,B
hybrid-dynamic,30000000,8,4,1857859,0.000048,0.000022,0.423579,0.014014,0.029103,0.083417,0.144357,0.725604,1.002406,32,3,B
hybrid-dynamic,30000000,16,2,1857859,0.000056,0.000055,0.371332,0.006337,0.034855,0.086582,0.146948,0.657628,1.028002,32,1,B
hybrid-dynamic,30000000,16,2,1857859,0.000043,0.000050,0.370820,0.005945,0.049502,0.085807,0.145965,0.669028,1.035154,32,2,B
hybrid-dynamic,30000000,16,2,1857859,0.000045,0.000040,0.378530,0.006136,0.034601,0.089619,0.147508,0.678703,1.031652,32,3,B
hybrid-dynamic,30000000,32,1,1857859,0.000036,0.000032,0.342121,0.003085,0.046890,0.100324,0.166711,0.686794,1.006174,32,1,B
hybrid-dynamic,30000000,32,1,1857859,0.000042,0.000038,0.342743,0.002778,0.039479,0.092756,0.147737,0.654235,1.006436,32,2,B
hybrid-dynamic,30000000,32,1,1857859,0.000037,0.000050,0.339091,0.003045,0.038685,0.091834,0.151774,0.645322,1.006160,32,3,B
hybrid-dynamic,30000000,4,16,1857859,0.000086,0.000026,0.413873,0.034149,0.029811,0.082324,0.154471,0.742863,1.010738,64,1,B
hybrid-dynamic,30000000,4,16,1857859,0.000093,0.000030,0.328263,0.040774,0.028924,0.079542,0.142972,0.638292,1.012139,64,2,B
