impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic(->block@P1),30000000,1,1,1857859,0.000031,0.000000,9.540311,0.003593,0.000000,0.166075,9.710073,1.000000,1,B
mpi-dynamic(->block@P1),30000000,1,1,1857859,0.000027,0.000000,9.540084,0.003775,0.000000,0.175929,9.719879,1.000000,2,B
mpi-dynamic(->block@P1),30000000,1,1,1857859,0.000027,0.000000,9.559618,0.003969,0.000000,0.188790,9.752471,1.000000,3,B
mpi-dynamic,30000000,2,1,1857859,0.000030,0.000013,10.516454,0.024957,0.069813,0.171237,10.793285,1.000008,1,B
mpi-dynamic,30000000,2,1,1857859,0.000035,0.000015,10.452575,0.020287,0.070073,0.173795,10.727889,1.000005,2,B
mpi-dynamic,30000000,2,1,1857859,0.000030,0.000025,10.461934,0.028457,0.076324,0.202848,10.780505,1.000005,3,B
mpi-dynamic,30000000,4,1,1857859,0.000036,0.000019,3.922708,0.021849,0.078430,0.187174,4.231837,1.000196,1,B
mpi-dynamic,30000000,4,1,1857859,0.000042,0.000029,3.437332,0.020141,0.078513,0.180482,3.738300,1.000245,2,B
mpi-dynamic,30000000,4,1,1857859,0.000031,0.000037,3.632733,0.020543,0.076667,0.209044,3.951969,1.000068,3,B
mpi-dynamic,30000000,8,1,1857859,0.000035,0.000052,1.481626,0.022247,0.081711,0.172176,1.779238,1.001310,1,B
mpi-dynamic,30000000,8,1,1857859,0.000035,0.000051,1.559047,0.025730,0.082096,0.170212,1.858658,1.000872,2,B
mpi-dynamic,30000000,8,1,1857859,0.000048,0.000054,1.494711,0.020269,0.083680,0.202221,1.822230,1.001132,3,B
mpi-dynamic,30000000,12,1,1857859,0.000039,0.000034,0.976787,0.039365,0.092976,0.212742,1.343740,1.001864,1,B
mpi-dynamic,30000000,12,1,1857859,0.000050,0.000038,0.955877,0.037341,0.112403,0.296796,1.434571,1.001971,2,B
mpi-dynamic,30000000,12,1,1857859,0.000039,0.000045,0.935174,0.025429,0.085082,0.172596,1.240354,1.001581,3,B
mpi-dynamic,30000000,16,1,1857859,0.000056,0.000068,0.692684,0.027388,0.086721,0.172070,0.991048,1.016076,1,B
mpi-dynamic,30000000,16,1,1857859,0.000068,0.000058,0.707561,0.092754,0.114337,0.177291,1.107536,1.020382,2,B
mpi-dynamic,30000000,16,1,1857859,0.000049,0.000089,0.706948,0.029261,0.085796,0.179295,1.012867,1.016297,3,B
mpi-dynamic,30000000,24,1,1857859,0.000045,0.000043,0.487328,0.030579,0.088106,0.170963,0.816887,1.009277,1,B
mpi-dynamic,30000000,24,1,1857859,0.000042,0.000067,0.458096,0.026996,0.087599,0.179000,0.781968,1.004447,2,B
mpi-dynamic,30000000,24,1,1857859,0.000053,0.000079,0.465729,0.032502,0.088839,0.192099,0.808896,1.006535,3,B
mpi-dynamic,30000000,32,1,1857859,0.000036,0.000028,0.366877,0.041643,0.112737,0.198209,0.748017,1.010674,1,B
mpi-dynamic,30000000,32,1,1857859,0.000049,0.000040,0.351782,0.037725,0.091176,0.163739,0.665225,1.006109,2,B
mpi-dynamic,30000000,32,1,1857859,0.000060,0.000048,0.391805,0.040009,0.089815,0.186794,0.738246,1.008594,3,B
mpi-dynamic,30000000,48,1,1857859,0.000041,0.000039,0.320771,0.048028,0.114668,0.188571,0.697221,1.024332,1,B
mpi-dynamic,30000000,48,1,1857859,0.000040,0.000039,0.307345,0.049845,0.095694,0.171313,0.703239,1.030201,2,B
mpi-dynamic,30000000,48,1,1857859,0.000043,0.000038,0.266469,0.040636,0.091184,0.177288,0.595176,1.025299,3,B
mpi-dynamic,30000000,64,1,1857859,0.000105,0.000052,0.176866,0.047054,0.092218,0.164650,0.512038,1.040419,1,B
