impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,100000000,1,1,5761455,0.000051,53.214133,0.000000,0.565804,53.779993,1,B
serial,100000000,1,1,5761455,0.000058,53.257815,0.000000,0.508746,53.766623,2,B
serial,100000000,1,1,5761455,0.000055,53.223525,0.000000,0.443344,53.666929,3,B
pthreads,100000000,1,1,5761455,0.000055,53.225081,0.007580,0.454867,53.687587,1,B
openmp-dynamic-4096,100000000,1,1,5761455,0.000031,53.246279,0.114549,0.457617,53.818480,1,B
pthreads,100000000,1,1,5761455,0.000056,53.220306,0.006698,0.465450,53.692514,2,B
openmp-dynamic-4096,100000000,1,1,5761455,0.000031,53.247138,0.111992,0.495324,53.854489,2,B
pthreads,100000000,1,1,5761455,0.000068,53.223464,0.007313,0.477422,53.708271,3,B
openmp-dynamic-4096,100000000,1,1,5761455,0.000032,53.421847,0.112875,0.523155,54.057913,3,B
pthreads,100000000,1,2,5761455,0.000074,33.646287,0.009381,0.637003,34.292748,1,B
openmp-dynamic-4096,100000000,1,2,5761455,0.000032,26.706675,0.111880,0.624989,27.443583,1,B
pthreads,100000000,1,2,5761455,0.000086,33.627067,0.006705,0.617622,34.251486,2,B
openmp-dynamic-4096,100000000,1,2,5761455,0.000031,26.664883,0.112086,0.519683,27.296688,2,B
pthreads,100000000,1,2,5761455,0.000061,33.611665,0.006955,0.598036,34.216721,3,B
openmp-dynamic-4096,100000000,1,2,5761455,0.000032,26.648433,0.112126,0.587327,27.347923,3,B
pthreads,100000000,1,4,5761455,0.000069,18.018986,0.008612,0.622970,18.650642,1,B
openmp-dynamic-4096,100000000,1,4,5761455,0.000031,13.376532,0.112631,0.566438,14.055636,1,B
pthreads,100000000,1,4,5761455,0.000071,18.079135,0.006225,0.562994,18.648431,2,B
openmp-dynamic-4096,100000000,1,4,5761455,0.000032,13.887649,0.112222,0.594504,14.594412,2,B
pthreads,100000000,1,4,5761455,0.000069,18.024326,0.006543,0.611005,18.641948,3,B
openmp-dynamic-4096,100000000,1,4,5761455,0.000032,13.330443,0.111666,0.560276,14.002434,3,B
