impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-blockcyclic,100000000,1,16,5761455,0.000097,0.000000,5.361324,0.288131,0.005598,0.231439,0.405805,6.292477,1.000000,16,1,B
hybrid-blockcyclic,100000000,1,16,5761455,0.000091,0.000000,3.355815,0.288144,0.006614,0.231033,0.414445,4.296226,1.000000,16,2,B
hybrid-blockcyclic,100000000,1,16,5761455,0.000150,0.000000,3.354925,0.284403,0.006425,0.231130,0.431163,4.308283,1.000000,16,3,B
hybrid-blockcyclic,100000000,2,8,5761455,0.000062,0.000014,3.455094,0.132176,0.035796,0.241484,0.419729,4.295879,1.030900,16,1,B
hybrid-blockcyclic,100000000,2,8,5761455,0.000052,0.000014,3.418576,0.135630,0.041673,0.241765,0.420292,4.270578,1.020161,16,2,B
hybrid-blockcyclic,100000000,2,8,5761455,0.000067,0.000014,3.386099,0.135551,0.033685,0.242212,0.424830,4.233567,1.011847,16,3,B
hybrid-blockcyclic,100000000,4,4,5761455,0.000042,0.000032,3.366530,0.064294,0.058372,0.251652,0.421422,4.183798,1.005870,16,1,B
hybrid-blockcyclic,100000000,4,4,5761455,0.000046,0.000024,3.468240,0.063370,0.050924,0.252021,0.406478,4.262045,1.037091,16,2,B
hybrid-blockcyclic,100000000,4,4,5761455,0.000044,0.000038,3.451873,0.064906,0.047192,0.252599,0.412823,4.249542,1.031494,16,3,B
hybrid-blockcyclic,100000000,8,2,5761455,0.000039,0.000019,3.446207,0.030335,0.097125,0.264363,0.404602,4.263825,1.029706,16,1,B
hybrid-blockcyclic,100000000,8,2,5761455,0.000035,0.000016,3.400158,0.030890,0.073806,0.264098,0.413806,4.203543,1.015149,16,2,B
hybrid-blockcyclic,100000000,8,2,5761455,0.000033,0.000017,3.354349,0.035960,0.083680,0.264570,0.416784,4.183104,1.004054,16,3,B
hybrid-blockcyclic,100000000,16,1,5761455,0.000033,0.000059,3.596873,0.020986,0.081279,0.283969,0.413938,4.412598,1.082749,16,1,B
hybrid-blockcyclic,100000000,16,1,5761455,0.000049,0.000060,3.346030,0.014775,0.090953,0.285643,0.417670,4.184907,1.006404,16,2,B
hybrid-blockcyclic,100000000,16,1,5761455,0.000048,0.000100,3.434521,0.014665,0.087720,0.283764,0.411284,4.243381,1.032356,16,3,B
hybrid-blockcyclic,100000000,2,16,5761455,0.000086,0.000015,1.684732,0.145637,0.055865,0.242433,0.431195,2.571211,1.003643,32,1,B
hybrid-blockcyclic,100000000,2,16,5761455,0.000087,0.000015,1.685431,0.145231,0.050774,0.241325,0.411346,2.545354,1.004411,32,2,B
