impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-blockcyclic,20000000,16,1,1270607,0.000028,0.000053,0.355205,0.029678,0.060810,0.115609,0.572587,1.060725,1,A
mpi-blockcyclic,20000000,16,1,1270607,0.000033,0.000067,0.347341,0.034888,0.061519,0.125893,0.600005,1.037086,2,A
mpi-blockcyclic,20000000,16,1,1270607,0.000038,0.000069,0.345642,0.030287,0.059780,0.126994,0.583786,1.032147,3,A
mpi-blockcyclic,21141000,16,1,1338321,0.000038,0.000075,0.386987,0.044059,0.064388,0.178413,0.695001,1.067836,1,A
mpi-blockcyclic,21141000,16,1,1338321,0.000039,0.000062,0.365442,0.036153,0.063341,0.151934,0.637160,1.008270,2,A
mpi-blockcyclic,21141000,16,1,1338321,0.000032,0.000057,0.374683,0.034983,0.063251,0.139486,0.633563,1.033553,3,A
mpi-blockcyclic,22347000,16,1,1409642,0.000041,0.000038,0.398678,0.056858,0.066352,0.164436,0.708223,1.015139,1,A
mpi-blockcyclic,22347000,16,1,1409642,0.000043,0.000052,0.420277,0.034058,0.066380,0.140420,0.682530,1.070057,2,A
mpi-blockcyclic,22347000,16,1,1409642,0.000040,0.000039,0.401785,0.037712,0.069787,0.151537,0.691748,1.025756,3,A
mpi-blockcyclic,23623000,16,1,1484957,0.000038,0.000077,0.427196,0.030919,0.068966,0.142629,0.690117,1.006665,1,A
mpi-blockcyclic,23623000,16,1,1484957,0.000043,0.000054,0.431993,0.028856,0.069935,0.160948,0.712675,1.017365,2,A
mpi-blockcyclic,23623000,16,1,1484957,0.000033,0.000040,0.430460,0.034421,0.069476,0.161880,0.727420,1.014213,3,A
mpi-blockcyclic,24971000,16,1,1564236,0.000043,0.000049,0.467460,0.033632,0.075492,0.196734,0.794500,1.017478,1,A
mpi-blockcyclic,24971000,16,1,1564236,0.000035,0.000041,0.467502,0.035572,0.080803,0.185652,0.789022,1.016755,2,A
mpi-blockcyclic,24971000,16,1,1564236,0.000041,0.000068,0.464570,0.037879,0.073938,0.164740,0.761300,1.011434,3,A
mpi-blockcyclic,26396000,16,1,1647664,0.000044,0.000047,0.503131,0.035382,0.078549,0.184919,0.823090,1.013600,1,A
