impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,20000000,1,1,1270607,0.000009,1.155571,0.000000,0.033895,1.189476,1,A
pthreads,20000000,1,8,1270607,0.000022,0.360677,0.000918,0.035987,0.397605,1,A
openmp-dynamic-4096,20000000,1,8,1270607,0.000007,0.258443,0.015422,0.036372,0.310247,1,A
serial,20000000,1,1,1270607,0.000009,1.171876,0.000000,0.035262,1.207148,2,A
pthreads,20000000,1,8,1270607,0.000020,0.337466,0.000704,0.038414,0.376606,2,A
openmp-dynamic-4096,20000000,1,8,1270607,0.000006,0.255129,0.014995,0.038320,0.308453,2,A
serial,20000000,1,1,1270607,0.000010,1.179164,0.000000,0.034702,1.213876,3,A
pthreads,20000000,1,8,1270607,0.000020,0.353809,0.000738,0.037752,0.392320,3,A
openmp-dynamic-4096,20000000,1,8,1270607,0.000008,0.254530,0.015063,0.037979,0.307582,3,A
serial,21141000,1,1,1338321,0.000012,1.261417,0.000000,0.036167,1.297598,1,A
pthreads,21141000,1,8,1338321,0.000023,0.390127,0.000752,0.039797,0.430700,1,A
openmp-dynamic-4096,21141000,1,8,1338321,0.000010,0.275847,0.015884,0.039974,0.331716,1,A
serial,21141000,1,1,1338321,0.000009,1.262074,0.000000,0.036823,1.298907,2,A
pthreads,21141000,1,8,1338321,0.000020,0.371923,0.000745,0.039459,0.412148,2,A
openmp-dynamic-4096,21141000,1,8,1338321,0.000006,0.275594,0.015934,0.039977,0.331513,2,A
serial,21141000,1,1,1338321,0.000009,1.273478,0.000000,0.036116,1.309603,3,A
pthreads,21141000,1,8,1338321,0.000020,0.362074,0.000724,0.039995,0.402813,3,A
openmp-dynamic-4096,21141000,1,8,1338321,0.000012,0.276321,0.013932,0.039651,0.329917,3,A
serial,22347000,1,1,1409642,0.000009,1.371100,0.000000,0.038704,1.409813,1,A
pthreads,22347000,1,8,1409642,0.000023,0.357117,0.001364,0.041855,0.400359,1,A
openmp-dynamic-4096,22347000,1,8,1409642,0.000006,0.304033,0.013555,0.044375,0.361971,1,A
serial,22347000,1,1,1409642,0.000009,1.428357,0.000000,0.038384,1.466751,2,A
pthreads,22347000,1,8,1409642,0.000027,0.342728,0.001435,0.042211,0.386402,2,A
openmp-dynamic-4096,22347000,1,8,1409642,0.000026,0.299631,0.016820,0.045265,0.361743,2,A
serial,22347000,1,1,1409642,0.000009,1.362411,0.000000,0.091851,1.454272,3,A
pthreads,22347000,1,8,1409642,0.000025,0.874984,0.002040,0.059076,0.936126,3,A
openmp-dynamic-4096,22347000,1,8,1409642,0.000020,0.586321,0.016968,0.090576,0.693892,3,A
serial,23623000,1,1,1484957,0.000041,1.677550,0.000000,0.045825,1.723416,1,A
pthreads,23623000,1,8,1484957,0.000207,0.897071,0.002090,0.054233,0.953604,1,A
openmp-dynamic-4096,23623000,1,8,1484957,0.000025,0.432531,0.019482,0.049928,0.501969,1,A
serial,23623000,1,1,1484957,0.000016,1.645060,0.000000,0.074434,1.719510,2,A
pthreads,23623000,1,8,1484957,0.000087,0.539953,0.001745,0.049237,0.591024,2,A
openmp-dynamic-4096,23623000,1,8,1484957,0.000059,0.352242,0.015554,0.050631,0.418494,2,A
serial,23623000,1,1,1484957,0.000014,1.527479,0.000000,0.045910,1.573404,3,A
pthreads,23623000,1,8,1484957,0.000030,0.399768,0.001028,0.051045,0.451872,3,A
openmp-dynamic-4096,23623000,1,8,1484957,0.000009,0.351786,0.015796,0.052845,0.420439,3,A
