impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_lsort,t_comm,t_sort,t_io,t_total,imbalance,workers,rep,sweep
hybrid-blockcyclic,20000000,4,2,1270607,0.000010,0.000000,0.271481,0.008120,0.001844,0.018806,0.041460,0.338823,1.159835,8,1,A
hybrid-blockcyclic,20000000,4,2,1270607,0.000009,0.000000,0.274009,0.008134,0.002008,0.019202,0.040312,0.340485,1.143171,8,2,A
hybrid-blockcyclic,20000000,4,2,1270607,0.000010,0.000000,0.291087,0.005145,0.001181,0.020130,0.043149,0.361212,1.081460,8,3,A
hybrid-blockcyclic,21141000,4,2,1338321,0.000009,0.000001,0.281246,0.007835,0.002444,0.019344,0.046360,0.355984,1.047503,8,1,A
hybrid-blockcyclic,21141000,4,2,1338321,0.000009,0.000000,0.291726,0.007132,0.001962,0.019556,0.047071,0.367481,1.128355,8,2,A
hybrid-blockcyclic,21141000,4,2,1338321,0.000009,0.000000,0.296804,0.007864,0.002916,0.019851,0.042791,0.369503,1.182405,8,3,A
hybrid-blockcyclic,22347000,4,2,1409642,0.000009,0.000000,0.305738,0.007824,0.001928,0.021513,0.045466,0.382311,1.048004,8,1,A
hybrid-blockcyclic,22347000,4,2,1409642,0.000008,0.000001,0.310436,0.006842,0.002061,0.023061,0.049084,0.392926,1.137198,8,2,A
hybrid-blockcyclic,22347000,4,2,1409642,0.000009,0.000001,0.339637,0.005570,0.001983,0.019541,0.047030,0.414813,1.094074,8,3,A
hybrid-blockcyclic,23623000,4,2,1484957,0.000014,0.000001,0.340101,0.008503,0.002224,0.023330,0.066903,0.440534,1.184422,8,1,A
hybrid-blockcyclic,23623000,4,2,1484957,0.000024,0.000001,0.342638,0.006216,0.002524,0.021973,0.049059,0.422028,1.049566,8,2,A
hybrid-blockcyclic,23623000,4,2,1484957,0.000009,0.000001,0.359922,0.008810,0.001655,0.022557,0.050623,0.442106,1.096064,8,3,A
hybrid-blockcyclic,24971000,4,2,1564236,0.000009,0.000001,0.369797,0.009321,0.001962,0.023142,0.068170,0.473608,1.095978,8,1,A
hybrid-blockcyclic,24971000,4,2,1564236,0.000008,0.000000,0.387638,0.008986,0.001978,0.024470,0.054804,0.477702,1.125656,8,2,A
hybrid-blockcyclic,24971000,4,2,1564236,0.000012,0.000001,0.448290,0.008891,0.001886,0.025994,0.054824,0.538916,1.120855,8,3,A
hybrid-blockcyclic,26396000,4,2,1647664,0.000009,0.000000,0.399039,0.008966,0.001172,0.027414,0.055709,0.490955,1.052411,8,1,A
hybrid-blockcyclic,26396000,4,2,1647664,0.000011,0.000001,0.407644,0.007730,0.001927,0.024793,0.054044,0.499564,1.068203,8,2,A
hybrid-blockcyclic,26396000,4,2,1647664,0.000008,0.000000,0.429726,0.008094,0.002497,0.027036,0.057573,0.523856,1.150944,8,3,A
hybrid-blockcyclic,27902000,4,2,1735706,0.000016,0.000000,0.414363,0.007408,0.002047,0.026194,0.067630,0.524267,1.020666,8,1,A
hybrid-blockcyclic,27902000,4,2,1735706,0.000011,0.000001,0.439682,0.010231,0.002361,0.027841,0.060174,0.538575,1.071422,8,2,A
hybrid-blockcyclic,27902000,4,2,1735706,0.000010,0.000001,0.471553,0.009816,0.001915,0.030251,0.063466,0.574376,1.081830,8,3,A
hybrid-blockcyclic,29494000,4,2,1828356,0.000010,0.000001,0.470264,0.008409,0.002405,0.026846,0.066705,0.573887,1.128802,8,1,A
hybrid-blockcyclic,29494000,4,2,1828356,0.000011,0.000000,0.486691,0.007278,0.002700,0.026454,0.071665,0.594840,1.072760,8,2,A
hybrid-blockcyclic,29494000,4,2,1828356,0.000010,0.000001,0.464594,0.010862,0.002155,0.027942,0.060741,0.562606,1.021340,8,3,A
hybrid-blockcyclic,31178000,4,2,1926228,0.000011,0.000000,0.498787,0.011507,0.002474,0.028752,0.061482,0.599750,1.085867,8,1,A
hybrid-blockcyclic,31178000,4,2,1926228,0.000009,0.000000,0.561882,0.007645,0.001732,0.028703,0.062196,0.662942,1.126861,8,2,A
hybrid-blockcyclic,31178000,4,2,1926228,0.000009,0.000000,0.523566,0.009984,0.001843,0.032531,0.068345,0.638587,1.021992,8,3,A
hybrid-blockcyclic,32957000,4,2,2029180,0.000009,0.000000,0.529171,0.008353,0.002035,0.030143,0.069379,0.641365,1.073458,8,1,A
hybrid-blockcyclic,32957000,4,2,2029180,0.000008,0.000000,0.535385,0.010663,0.001937,0.029491,0.067728,0.643284,1.040895,8,2,A
hybrid-blockcyclic,32957000,4,2,2029180,0.000011,0.000000,0.570229,0.011310,0.001469,0.034257,0.074542,0.688970,1.047458,8,3,A
hybrid-blockcyclic,34838000,4,2,2137395,0.000009,0.000000,0.590389,0.009758,0.002598,0.032655,0.071272,0.706350,1.069496,8,1,A
hybrid-blockcyclic,34838000,4,2,2137395,0.000008,0.000000,0.596460,0.009514,0.002956,0.031911,0.071146,0.711916,1.130702,8,2,A
hybrid-blockcyclic,34838000,4,2,2137395,0.000011,0.000000,0.626504,0.009253,0.001884,0.035512,0.089802,0.764290,1.095761,8,3,A
hybrid-blockcyclic,36826000,4,2,2251737,0.000009,0.000000,0.616903,0.012796,0.001807,0.034813,0.075057,0.737227,1.033716,8,1,A
hybrid-blockcyclic,36826000,4,2,2251737,0.000009,0.000000,0.661044,0.012022,0.002685,0.035355,0.079448,0.789968,1.082704,8,2,A
hybrid-blockcyclic,36826000,4,2,2251737,0.000009,0.000000,0.721607,0.012638,0.002594,0.041623,0.086758,0.863055,1.110740,8,3,A
hybrid-blockcyclic,38927000,4,2,2372254,0.000010,0.000000,0.670961,0.010688,0.002548,0.036069,0.080001,0.800018,1.061820,8,1,A
hybrid-blockcyclic,38927000,4,2,2372254,0.000010,0.000001,0.747075,0.016151,0.002110,0.038881,0.084396,0.882981,1.100363,8,2,A
hybrid-blockcyclic,38927000,4,2,2372254,0.000010,0.000001,0.922127,0.011634,0.002498,0.046729,0.094371,1.077333,1.050161,8,3,A
hybrid-blockcyclic,41149000,4,2,2499290,0.000009,0.000000,0.728212,0.015342,0.001951,0.036833,0.087822,0.865750,1.085043,8,1,A
hybrid-blockcyclic,41149000,4,2,2499290,0.000010,0.000000,0.788695,0.011559,0.002657,0.041590,0.087396,0.930474,1.066681,8,2,A
hybrid-blockcyclic,41149000,4,2,2499290,0.000009,0.000000,0.868960,0.014839,0.002318,0.048008,0.099010,1.031614,1.021411,8,3,A
hybrid-blockcyclic,43497000,4,2,2632821,0.000009,0.000000,0.799221,0.011997,0.002359,0.043991,0.091200,0.949199,1.075934,8,1,A
hybrid-blockcyclic,43497000,4,2,2632821,0.000010,0.000000,0.807217,0.013392,0.002358,0.041327,0.087958,0.949751,1.050187,8,2,A
hybrid-blockcyclic,43497000,4,2,2632821,0.000009,0.000000,0.950554,0.013554,0.002164,0.057046,0.107507,1.130674,1.050740,8,3,A
hybrid-blockcyclic,45979000,4,2,2773856,0.000009,0.000000,0.915792,0.014652,0.002283,0.043446,0.095083,1.070622,1.031766,8,1,A
