impl,n,procs,threads,prime_count,t_alloc,t_bcast,t_compute,t_comm,t_sort,t_io,t_total,imbalance,rep,sweep
mpi-dynamic,20000000,8,1,1270607,0.000006,0.000015,0.338689,0.001761,0.022004,0.043814,0.415587,1.014601,1,A
mpi-dynamic,20000000,8,1,1270607,0.000010,0.000013,0.339592,0.003936,0.022857,0.057934,0.425050,1.004927,2,A
mpi-dynamic,20000000,8,1,1270607,0.000007,0.000016,0.386129,0.002652,0.023557,0.046925,0.462755,1.007416,3,A
mpi-dynamic,21141000,8,1,1338321,0.000006,0.000020,0.318820,0.002948,0.021884,0.045807,0.390980,1.005865,1,A
mpi-dynamic,21141000,8,1,1338321,0.000007,0.000017,0.334705,0.002464,0.021226,0.045119,0.406523,1.012172,2,A
mpi-dynamic,21141000,8,1,1338321,0.000008,0.000020,0.343455,0.002611,0.021805,0.046405,0.414347,1.004754,3,A
mpi-dynamic,22347000,8,1,1409642,0.000011,0.000018,0.345405,0.005806,0.021952,0.045558,0.422425,1.008269,1,A
mpi-dynamic,22347000,8,1,1409642,0.000008,0.000015,0.360636,0.004361,0.022429,0.047397,0.438127,1.008868,2,A
mpi-dynamic,22347000,8,1,1409642,0.000007,0.000015,0.372796,0.002590,0.025433,0.051126,0.455178,1.010709,3,A
mpi-dynamic,23623000,8,1,1484957,0.000006,0.000013,0.378898,0.004209,0.021935,0.047988,0.456594,1.007609,1,A
mpi-dynamic,23623000,8,1,1484957,0.000009,0.000023,0.392028,0.003065,0.024188,0.051449,0.470804,1.005361,2,A
mpi-dynamic,23623000,8,1,1484957,0.000009,0.002209,0.424254,0.003394,0.026267,0.054899,0.511065,1.003840,3,A
mpi-dynamic,24971000,8,1,1564236,0.000008,0.000022,0.405006,0.004869,0.023662,0.050090,0.483692,1.004115,1,A
mpi-dynamic,24971000,8,1,1564236,0.000005,0.000015,0.431772,0.003779,0.027616,0.057281,0.521195,1.004436,2,A
mpi-dynamic,24971000,8,1,1564236,0.000008,0.000019,0.470745,0.002919,0.028715,0.061741,0.564184,1.002284,3,A
mpi-dynamic,26396000,8,1,1647664,0.000005,0.000015,0.434225,0.006377,0.026327,0.055153,0.525215,1.004948,1,A
mpi-dynamic,26396000,8,1,1647664,0.000006,0.000012,0.474004,0.003268,0.027307,0.057681,0.565667,1.011028,2,A
mpi-dynamic,26396000,8,1,1647664,0.000007,0.000014,0.509251,0.003980,0.030981,0.068273,0.614648,1.003063,3,A
mpi-dynamic,27902000,8,1,1735706,0.000011,0.000041,0.482879,0.006244,0.027354,0.056272,0.572848,1.002863,1,A
mpi-dynamic,27902000,8,1,1735706,0.000006,0.000012,0.505096,0.002965,0.030788,0.063096,0.604738,1.004916,2,A
mpi-dynamic,27902000,8,1,1735706,0.000008,0.000024,0.547188,0.006191,0.033251,0.067996,0.655890,1.004342,3,A
mpi-dynamic,29494000,8,1,1828356,0.000008,0.000019,0.514615,0.005987,0.028645,0.059789,0.609099,1.004515,1,A
mpi-dynamic,29494000,8,1,1828356,0.000007,0.000027,0.582136,0.005319,0.032537,0.066492,0.690411,1.008829,2,A
mpi-dynamic,29494000,8,1,1828356,0.000007,0.000014,0.618683,0.003427,0.036515,0.075003,0.734692,1.003349,3,A
mpi-dynamic,31178000,8,1,1926228,0.000009,0.000023,0.556645,0.004883,0.031672,0.065886,0.660724,1.004169,1,A
mpi-dynamic,31178000,8,1,1926228,0.000009,0.000019,0.600703,0.004272,0.033857,0.068889,0.707886,1.004179,2,A
